YYYY-MM-DD	hh:mm:ss	Status	Interval [s]	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	RI [mm/h]	RA [mm]	RAT [mm]
2015-07-08	12:05:00		30	1	0	8	14	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362	0.003	183.916
2015-07-08	12:05:30		30	1	5	9	16	13	24	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0.573	0.005	183.921
2015-07-08	12:06:00		30	0	1	10	11	10	19	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0.483	0.004	183.925
2015-07-08	12:06:30		30	1	3	12	12	9	22	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.439	0.004	183.929
2015-07-08	12:07:00		30	0	3	14	14	17	17	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0.512	0.004	183.933
2015-07-08	12:07:30		30	0	7	18	20	11	23	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0.587	0.005	183.938
2015-07-08	12:08:00		30	1	6	8	17	21	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.437	0.004	183.941
2015-07-08	12:08:30		30	0	4	13	17	16	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.384	0.003	183.945
2015-07-08	12:09:00		30	1	9	10	19	24	16	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478	0.004	183.949
2015-07-08	12:09:30		30	0	5	16	18	15	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394	0.003	183.952
2015-07-08	12:10:00		30	1	12	16	26	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294	0.002	183.954
2015-07-08	12:10:30		30	1	2	6	27	25	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383	0.003	183.958
2015-07-08	12:11:00		30	2	13	20	25	14	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.339	0.003	183.960
2015-07-08	12:11:30		30	3	18	16	24	10	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265	0.002	183.963
2015-07-08	12:12:00		30	1	13	8	16	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201	0.002	183.964
2015-07-08	12:12:30		30	1	8	26	18	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240	0.002	183.966
2015-07-08	12:13:00		30	0	9	18	9	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138	0.001	183.967
2015-07-08	12:13:30		30	0	4	14	14	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0.001	183.968
2015-07-08	12:14:00		30	5	13	21	11	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151	0.001	183.969
2015-07-08	12:14:30		30	1	17	13	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106	0.001	183.970
2015-07-08	12:15:00		30	4	21	23	16	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211	0.002	183.972
2015-07-08	12:15:30		30	3	16	14	5	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154	0.001	183.973
2015-07-08	12:16:00		30	2	20	10	10	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0.001	183.975
2015-07-08	12:16:30		30	7	16	9	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099	0.001	183.975
2015-07-08	12:17:00		30	0	1	4	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0.000	183.976
2015-07-08	12:17:30		30	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0.000	183.976
2015-07-08	12:18:00		30	0	2	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0.000	183.976
2015-07-08	12:18:30		30	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0.000	183.976
2015-07-08	12:19:00		30	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.000	183.977
2015-07-08	12:19:30		30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.000	183.977
2015-07-08	12:20:00		30	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.000	183.977
2015-07-08	12:20:30		30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.000	183.977
2015-07-08	12:21:00		30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.000	183.977
2015-07-08	12:21:30		30	1	4	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0.000	183.977
2015-07-08	12:22:00		30	1	3	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0.000	183.977
2015-07-08	12:22:30		30	1	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0.000	183.978
2015-07-08	12:23:00		30	2	5	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0.000	183.978
2015-07-08	12:23:30		30	2	7	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0.000	183.978
2015-07-08	12:24:00		30	0	6	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0.000	183.978
2015-07-08	12:24:30		30	1	6	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0.000	183.979
2015-07-08	12:25:00		30	2	5	2	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0.001	183.979
2015-07-08	12:25:30		30	4	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030	0.000	183.979
2015-07-08	12:26:00		30	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0.000	183.980
2015-07-08	12:26:30		30	0	5	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0.000	183.980
2015-07-08	12:27:00		30	2	4	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0.000	183.980
2015-07-08	12:27:30		30	3	8	5	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0.001	183.981
2015-07-08	12:28:00		30	0	5	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0.001	183.981
2015-07-08	12:28:30		30	1	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0.000	183.982
2015-07-08	12:29:00		30	1	2	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0.000	183.982
2015-07-08	12:29:30		30	0	9	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0.000	183.982
2015-07-08	12:30:00		30	2	6	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0.000	183.982
2015-07-08	12:30:30		30	2	17	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0.000	183.983
